,Matchday,Day,Date_x,Time_x,home,xG_home,xG_away,away,Assistance,Venue,Referee_x,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,Div,Date_y,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee_y,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Season,Time_y,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,season,jogador18_home,jogador19_home,jogador18_away,jogador19_away,dif,xg_dif,result,fav,WKND,home_Points,away_Points,points_home_MA5,points_away_MA5,points_home_MA17,points_away_MA17,points_home_MA34,points_away_MA34,position_home,position_away,favorite_team,favorite_won,yellow_card_fav
0,1,Fri,2018-08-10,20:00,Chelsea,1.5,1.8,Leicester,74439.0,Old Trafford,Andre Marriner,/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,2,1,4-3-3,4-2-3-1,11.0,8.0,2.0,5.0,12.0,27.0,648.0,702.0,26.0,14.0,17.0,12.0,9.0,13.0,36.0,14.0,4.0,2.0,5.0,4.0,20.0,18.0,68.0,65.0,2.0,0.0,0.0,1.0,0.0,0.0,David de Gea,Victor Lindelöf,Eric Bailly,Paul Pogba,Alexis Sánchez,Juan Mata,Marcus Rashford,Andreas Pereira,Fred,Luke Shaw,Matteo Darmian,Lee Grant,Romelu Lukaku,Anthony Martial,Chris Smalling,Ashley Young,Marouane Fellaini,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Demarai Gray,Kelechi Iheanacho,James Maddison,Ricardo Pereira,Harry Maguire,Daniel Amartey,Adrien Silva,Wilfred Ndidi,Danny Ward,Jonny Evans,Jamie Vardy,Marc Albrighton,Vicente Iborra,Christian Fuchs,E0,22/12/2018,0.0,1.0,A,0.0,0.0,D,L Probert,17.0,8.0,5.0,3.0,10.0,9.0,9.0,5.0,0.0,2.0,0.0,0.0,1.33,5.5,11.0,1.33,5.0,10.0,1.35,5.3,8.0,,,,1.33,5.42,11.37,1.3,5.25,11.0,1.33,5.5,11.0,36.0,1.36,1.33,5.5,5.23,11.39,10.39,34.0,1.75,1.67,2.32,2.21,23.0,-1.5,2.02,1.97,1.95,1.89,1.34,5.48,10.52,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,1,-0.30000000000000004,H,HH,0.0,3.0,0.0,,,,,,,1.0,14.0,H,1,2.0
1,1,Sat,2018-08-11,12:30,Newcastle,1.0,2.0,Tottenham,51749.0,St. James' Park,Martin Atkinson,/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,1,2,4-4-1-1,4-3-2-1,11.0,12.0,3.0,5.0,12.0,17.0,568.0,776.0,14.0,27.0,20.0,10.0,32.0,21.0,19.0,43.0,1.0,0.0,5.0,10.0,36.0,24.0,93.0,80.0,2.0,0.0,0.0,2.0,0.0,0.0,Martin Dúbravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu,DeAndre Yedlin,Karl Darlow,Ki Sung-yueng,Fabian Schär,Salomón Rondón,Yoshinori Mutō,Javier Manquillo,Hugo Lloris,Jan Vertonghen,Davinson Sánchez,Harry Kane,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Serge Aurier,Lucas Moura,Ben Davies,Michel Vorm,Toby Alderweireld,Son Heung-min,Kyle Walker-Peters,Fernando Llorente,Mousa Dembélé,E0,11/08/2018,1.0,2.0,A,1.0,2.0,A,M Atkinson,15.0,15.0,2.0,5.0,11.0,12.0,3.0,5.0,2.0,2.0,0.0,0.0,3.9,3.5,2.04,3.8,3.5,2.0,3.7,3.35,2.05,,,,3.83,3.57,2.08,3.8,3.2,2.05,3.9,3.4,2.1,39.0,4.01,3.83,3.57,3.4,2.12,2.05,38.0,2.1,2.01,1.88,1.81,20.0,0.25,2.2,2.12,1.8,1.76,4.74,3.53,1.89,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,-1,-1.0,A,A,1.0,0.0,3.0,,,,,,,2.0,14.0,A,1,2.0
2,1,Sat,2018-08-11,15:00,Fulham,0.7,1.0,Crystal Palace,24821.0,Craven Cottage,Mike Dean,/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,0,2,4-3-3,4-4-2,9.0,11.0,5.0,5.0,32.0,12.0,847.0,514.0,27.0,22.0,15.0,14.0,10.0,20.0,23.0,32.0,2.0,3.0,5.0,8.0,16.0,25.0,86.0,67.0,1.0,0.0,0.0,2.0,0.0,0.0,Fabricio,Ryan Sessegnon,Calum Chambers,Kevin McDonald,Aleksandar Mitrović,Tom Cairney,André Schürrle,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Jean Seri,Sergio Rico,Neeskens Kebano,Stefan Johansen,Luciano Vietto,Timothy Fosu-Mensah,Ibrahima Cissé,Wayne Hennessey,Patrick van Aanholt,Luka Milivojević,James Tomkins,Andros Townsend,Wilfried Zaha,Mamadou Sakho,Jeffrey Schlupp,Christian Benteke,James McArthur,Aaron Wan-Bissaka,Vicente Guaita,Joel Ward,Cheikhou Kouyaté,Alexander Sørloth,Pape Souaré,Martin Kelly,E0,11/08/2018,0.0,2.0,A,0.0,1.0,A,M Dean,15.0,10.0,6.0,9.0,9.0,11.0,5.0,5.0,1.0,2.0,0.0,0.0,2.5,3.4,3.0,2.45,3.3,2.95,2.4,3.3,2.95,,,,2.5,3.46,3.0,2.45,3.3,2.8,2.5,3.4,3.0,39.0,2.6,2.47,3.49,3.35,3.05,2.92,38.0,2.0,1.95,1.96,1.87,22.0,-0.25,2.18,2.11,1.81,1.77,2.62,3.38,2.9,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,-2,-0.30000000000000004,A,,1.0,0.0,3.0,,,,,,,3.0,17.0,H,0,2.0
3,1,Sat,2018-08-11,15:00,Bournemouth,2.2,1.4,Cardiff,10353.0,Vitality Stadium,Kevin Friend,/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,2,0,4-4-2,4-1-4-1,11.0,9.0,7.0,4.0,11.0,18.0,678.0,456.0,11.0,22.0,4.0,15.0,32.0,31.0,40.0,31.0,0.0,2.0,7.0,10.0,31.0,20.0,71.0,98.0,1.0,0.0,0.0,1.0,0.0,0.0,Asmir Begović,Steve Cook,Dan Gosling,Nathan Aké,Andrew Surman,Charlie Daniels,Callum Wilson,Adam Smith,Joshua King,David Brooks,Ryan Fraser,Artur Boruc,Simon Francis,Lys Mousset,Jordon Ibe,Lewis Cook,Jermain Defoe,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Joe Ralls,Callum Paterson,Bobby Reid,Nathaniel Mendez-Laing,Sol Bamba,Junior Hoilett,Alex Smithies,Jazz Richards,Danny Ward,Josh Murphy,Greg Cunningham,Víctor Camarasa,E0,11/08/2018,2.0,0.0,H,1.0,0.0,H,K Friend,12.0,10.0,4.0,1.0,11.0,9.0,7.0,4.0,1.0,1.0,0.0,0.0,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1,,,,1.89,3.63,4.58,1.91,3.5,4.0,1.87,3.6,4.75,39.0,1.93,1.88,3.71,3.53,4.75,4.37,38.0,2.05,1.98,1.92,1.83,20.0,-0.75,2.2,2.13,1.8,1.75,1.88,3.61,4.7,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,2,0.8000000000000003,H,H,1.0,3.0,0.0,,,,,,,4.0,11.0,H,1,1.0
4,1,Sat,2018-08-11,15:00,Watford,1.2,0.3,Brighton,20051.0,Vicarage Road Stadium,Jonathan Moss,/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,2,0,4-2-2-2,4-4-1-1,10.0,16.0,8.0,2.0,20.0,15.0,566.0,537.0,18.0,16.0,12.0,17.0,15.0,24.0,13.0,26.0,0.0,3.0,8.0,10.0,16.0,19.0,96.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,Ben Foster,Daryl Janmaat,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,José Holebas,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Isaac Success,Adam Masina,Ken Sema,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Pascal Groß,Glenn Murray,Solly March,Davy Pröpper,Bernardo,David Button,Gaëtan Bong,Beram Kayal,Yves Bissouma,Jürgen Locadia,Leon Balogun,E0,11/08/2018,2.0,0.0,H,1.0,0.0,H,J Moss,19.0,6.0,5.0,0.0,10.0,16.0,8.0,2.0,2.0,2.0,0.0,0.0,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4,,,,2.43,3.22,3.33,2.38,3.0,3.3,2.4,3.2,3.4,39.0,2.48,2.36,3.3,3.14,3.42,3.31,37.0,2.46,2.35,1.67,1.59,22.0,-0.25,2.07,2.01,1.9,1.86,2.58,3.08,3.22,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,2,0.8999999999999999,H,,1.0,3.0,0.0,,,,,,,5.0,15.0,H,1,2.0
5,1,Sat,2018-08-11,15:00,Huddersfield,0.3,1.9,Chelsea,24121.0,The John Smith's Stadium,Chris Kavanagh,/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,0,3,3-5-1-1,4-3-3,9.0,8.0,2.0,5.0,23.0,11.0,519.0,806.0,25.0,12.0,16.0,9.0,21.0,16.0,13.0,22.0,2.0,1.0,5.0,6.0,23.0,30.0,106.0,60.0,2.0,0.0,0.0,1.0,0.0,0.0,Ben Hamer,Terence Kongolo,Jonathan Hogg,Philip Billing,Aaron Mooy,Chris Löwe,Alex Pritchard,Steve Mounié,Mathias Jørgensen,Christopher Schindler,Florent Hadergjonaj,Jonas Lössl,Tommy Smith,Adama Diakhaby,Ramadan Sobhi,Rajiv van La Parra,Laurent Depoitre,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Ross Barkley,Pedro,Willian,César Azpilicueta,Álvaro Morata,David Luiz,Willy Caballero,Eden Hazard,Ruben Loftus-Cheek,Victor Moses,Olivier Giroud,Davide Zappacosta,E0,11/08/2018,0.0,3.0,A,0.0,2.0,A,C Kavanagh,6.0,13.0,1.0,4.0,9.0,8.0,2.0,5.0,2.0,1.0,0.0,0.0,6.5,4.0,1.61,6.25,3.9,1.57,6.2,4.0,1.55,,,,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4.0,1.62,38.0,6.85,6.09,4.07,3.9,1.66,1.61,37.0,2.05,1.98,1.9,1.84,23.0,1.0,1.84,1.8,2.13,2.06,7.24,3.95,1.58,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,-3,-1.5999999999999999,A,A,1.0,0.0,3.0,,,,,,,6.0,4.0,A,1,2.0
6,1,Sat,2018-08-11,17:30,Wolves,1.0,1.0,Everton,31231.0,Molineux Stadium,Craig Pawson,/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,2,2,3-4-3,4-2-3-1,8.0,7.0,3.0,6.0,25.0,15.0,710.0,562.0,13.0,23.0,9.0,11.0,21.0,22.0,24.0,33.0,2.0,3.0,1.0,10.0,31.0,19.0,84.0,76.0,0.0,0.0,0.0,1.0,1.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Bright Enobakhare,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Jordan Pickford,Leighton Baines,Michael Keane,Phil Jagielka,Gylfi Sigurðsson,Theo Walcott,Cenk Tosun,Idrissa Gana Gueye,Morgan Schneiderlin,Séamus Coleman,Richarlison,Maarten Stekelenburg,Mason Holgate,Sandro Ramírez,Lucas Digne,Oumar Niasse,Tom Davies,E0,11/08/2018,2.0,2.0,D,1.0,1.0,D,C Pawson,11.0,6.0,4.0,5.0,8.0,7.0,3.0,6.0,0.0,1.0,0.0,1.0,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2,,,,2.36,3.4,3.28,2.3,3.2,3.2,2.38,3.3,3.3,38.0,2.41,2.33,3.4,3.27,3.4,3.23,36.0,2.2,2.09,1.83,1.75,22.0,-0.25,2.04,1.98,1.92,1.88,2.44,3.23,3.32,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,0,0.0,D,,1.0,1.0,1.0,,,,,,,6.0,11.0,H,0,1.0
7,1,Sun,2018-08-12,13:30,Southampton,1.1,1.4,Burnley,30784.0,St. Mary's Stadium,Graham Scott,/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,0,0,3-4-3,4-4-1-1,10.0,9.0,8.0,5.0,22.0,20.0,536.0,568.0,16.0,10.0,4.0,6.0,27.0,29.0,30.0,38.0,2.0,5.0,6.0,12.0,23.0,15.0,73.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Jack Stephens,Wesley Hoedt,Charlie Austin,Oriol Romeu,Stuart Armstrong,Mario Lemina,Ryan Bertrand,Nathan Redmond,Angus Gunn,Danny Ings,Mohamed Elyounoussi,James Ward-Prowse,Manolo Gabbiadini,Pierre Højbjerg,Joe Hart,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Jeff Hendrick,Ashley Westwood,Stephen Ward,Aaron Lennon,Tom Heaton,Charlie Taylor,Sam Vokes,Ashley Barnes,Ben Gibson,Jonathan Walters,E0,12/08/2018,0.0,0.0,D,0.0,0.0,D,G Scott,18.0,16.0,3.0,6.0,10.0,9.0,8.0,5.0,0.0,1.0,0.0,0.0,1.85,3.5,5.0,1.8,3.5,4.75,1.8,3.6,4.5,,,,1.86,3.51,4.99,1.83,3.25,4.8,1.85,3.4,5.2,39.0,1.9,1.84,3.61,3.43,5.2,4.8,37.0,2.45,2.34,1.67,1.6,20.0,-0.75,2.19,2.11,1.82,1.76,2.03,3.19,4.65,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,0,-0.2999999999999998,D,H,1.0,1.0,1.0,,,,,,,8.0,12.0,H,0,1.0
8,1,Sun,2018-08-12,13:30,Liverpool,4.0,0.7,West Ham,53235.0,Anfield,Anthony Taylor,/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,4,0,4-3-3,4-2-3-1,14.0,9.0,5.0,4.0,21.0,12.0,802.0,509.0,19.0,23.0,9.0,11.0,5.0,10.0,8.0,20.0,5.0,3.0,4.0,11.0,12.0,19.0,51.0,63.0,1.0,0.0,0.0,2.0,0.0,0.0,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Andrew Robertson,Trent Alexander-Arnold,Loris Karius,Nathaniel Clyne,Fabinho,Jordan Henderson,Daniel Sturridge,Adam Lallana,Łukasz Fabiański,Fabián Balbuena,Marko Arnautović,Felipe Anderson,Mark Noble,Jack Wilshere,Angelo Ogbonna,Ryan Fredericks,Arthur Masuaku,Michail Antonio,Declan Rice,Adrián,Pablo Zabaleta,Robert Snodgrass,Pedro Obiang,Javier Hernández,Andriy Yarmolenko,E0,12/08/2018,4.0,0.0,H,2.0,0.0,H,A Taylor,18.0,5.0,8.0,2.0,14.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,1.25,6.5,14.0,1.2,6.75,14.0,1.25,6.1,11.0,,,,1.27,6.35,13.25,1.25,5.5,12.0,1.25,6.5,13.0,38.0,1.29,1.25,6.79,6.22,15.0,12.3,33.0,1.49,1.44,2.88,2.72,21.0,-1.75,1.95,1.9,2.06,1.97,1.25,6.95,12.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,4,3.3,H,HH,1.0,3.0,0.0,,,,,,,10.0,12.0,H,1,1.0
9,1,Sun,2018-08-12,16:00,Arsenal,0.5,1.7,Man City,59934.0,Emirates Stadium,Michael Oliver,/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,0,2,4-2-3-1,4-2-3-1,11.0,14.0,2.0,9.0,12.0,15.0,559.0,690.0,22.0,6.0,12.0,12.0,14.0,8.0,24.0,10.0,7.0,2.0,8.0,8.0,16.0,20.0,61.0,66.0,2.0,0.0,0.0,2.0,0.0,0.0,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Aaron Ramsey,Mesut Özil,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles,Shkodran Mustafi,Mattéo Guendouzi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Alexandre Lacazette,Lucas Torreira,Stephan Lichtsteiner,Rob Holding,Ederson,Kyle Walker,John Stones,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Bernardo Silva,Benjamin Mendy,Fernandinho,Riyad Mahrez,Claudio Bravo,Vincent Kompany,Kevin De Bruyne,Leroy Sané,Nicolás Otamendi,Gabriel Jesus,E0,12/08/2018,0.0,2.0,A,0.0,1.0,A,M Oliver,9.0,17.0,3.0,8.0,11.0,14.0,2.0,9.0,2.0,2.0,0.0,0.0,4.0,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2.0,,,,4.0,3.97,1.93,3.8,3.8,1.91,3.9,4.0,1.91,39.0,4.15,3.83,4.0,3.8,2.0,1.92,36.0,1.6,1.55,2.55,2.42,20.0,0.75,1.78,1.74,2.21,2.15,4.43,4.13,1.81,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,-2,-1.2,A,A,1.0,0.0,3.0,,,,,,,11.0,12.0,A,1,2.0
