,Matchday,home,xG_home,xG_away,away,goals_home,goals_away,dif,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,result,home_Points,away_Points,B365H,B365D,B365A,Yellows_scored_home_MA5,Yellows_conceeded_home_MA5,Reds_scored_home_MA5,Reds_conceeded_home_MA5,Yellow_Reds_scored_home_MA5,Yellow_Reds_conceeded_home_MA5,Fouls_scored_home_MA5,Fouls_conceeded_home_MA5,Goals_scored_home_MA5,Goals_conceeded_home_MA5,Shoots_scored_home_MA5,Shoots_conceeded_home_MA5,SOT_scored_home_MA5,SOT_conceeded_home_MA5,Corners_scored_home_MA5,Corners_conceeded_home_MA5,Crosses_scored_home_MA5,Crosses_conceeded_home_MA5,Touches_scored_home_MA5,Touches_conceeded_home_MA5,Interceptions_scored_home_MA5,Interceptions_conceeded_home_MA5,Tackles_scored_home_MA5,Tackles_conceeded_home_MA5,Clearances_scored_home_MA5,Clearances_conceeded_home_MA5,Offsides_scored_home_MA5,Offsides_conceeded_home_MA5,Long Balls_scored_home_MA5,Long Balls_conceeded_home_MA5,Yellows_scored_away_MA5,Yellows_conceeded_away_MA5,Reds_scored_away_MA5,Reds_conceeded_away_MA5,Yellow_Reds_scored_away_MA5,Yellow_Reds_conceeded_away_MA5,Fouls_scored_away_MA5,Fouls_conceeded_away_MA5,Goals_scored_away_MA5,Goals_conceeded_away_MA5,Shoots_scored_away_MA5,Shoots_conceeded_away_MA5,SOT_scored_away_MA5,SOT_conceeded_away_MA5,Corners_scored_away_MA5,Corners_conceeded_away_MA5,Crosses_scored_away_MA5,Crosses_conceeded_away_MA5,Touches_scored_away_MA5,Touches_conceeded_away_MA5,Interceptions_scored_away_MA5,Interceptions_conceeded_away_MA5,Tackles_scored_away_MA5,Tackles_conceeded_away_MA5,Clearances_scored_away_MA5,Clearances_conceeded_away_MA5,Offsides_scored_away_MA5,Offsides_conceeded_away_MA5,Long Balls_scored_away_MA5,Long Balls_conceeded_away_MA5,Points_total_home_MA5,Points_total_away_MA5,Points_total_home_MA17,Points_total_away_MA17,Points_total_home_MA34,Points_total_away_MA34,season
50,6,Fulham,1.7,1.4,Watford,1,1,0,11.0,9.0,8.0,8.0,26.0,26.0,1,1.0,1.0,2.54,3.5,2.9,1.2,1.2,0.0,0.0,0.0,0.0,9.2,9.4,1.4,2.4,13.8,18.0,5.8,7.2,3.6,6.2,15.2,23.0,673.8,633.8,10.8,13.4,15.4,17.6,28.2,17.8,2.4,3.2,74.4,75.8,2.4,1.8,0.0,0.0,0.0,0.2,12.2,10.8,2.0,1.0,11.6,8.8,4.2,2.4,5.0,5.6,15.4,21.8,515.6,629.4,14.8,10.2,20.4,16.8,29.4,25.6,1.8,2.8,86.0,90.2,0.8,2.4,,,,,2019
51,6,Crystal Palace,0.9,0.2,Newcastle,0,0,0,8.0,11.0,9.0,5.0,21.0,15.0,1,1.0,1.0,2.14,3.4,3.75,1.6,1.6,0.2,0.0,0.0,0.0,11.2,11.8,0.8,1.2,10.8,15.6,4.4,5.0,4.8,5.4,14.2,25.0,549.2,673.4,10.8,11.6,16.8,22.2,28.6,21.2,2.0,2.2,73.8,86.4,1.4,1.0,0.2,0.0,0.0,0.0,13.8,10.0,0.8,1.6,8.0,15.6,2.8,3.8,4.4,4.6,13.6,19.8,446.4,796.0,14.6,8.0,17.0,18.0,28.4,29.2,1.4,1.4,80.8,69.8,1.2,0.2,,,,,2019
52,6,Cardiff,0.1,2.5,Man City,0,5,-5,6.0,4.0,1.0,9.0,7.0,23.0,2,0.0,3.0,23.0,8.0,1.16,1.4,1.4,0.0,0.4,0.0,0.0,11.0,11.4,0.6,1.8,11.2,12.8,2.2,5.8,4.6,6.6,17.0,16.4,430.6,670.4,15.6,7.2,17.6,11.6,31.6,26.4,1.6,0.4,85.4,77.2,0.8,1.0,0.0,0.0,0.0,0.0,8.6,9.6,2.8,0.6,23.8,7.4,9.0,2.2,8.4,2.8,22.0,10.6,844.2,445.8,8.4,12.4,9.0,17.8,15.0,30.8,2.6,3.0,57.0,67.8,0.4,2.6,,,,,2019
53,6,Liverpool,1.7,0.3,Southampton,3,0,3,7.0,10.0,5.0,4.0,13.0,14.0,0,3.0,0.0,1.2,7.5,17.0,1.0,1.4,0.0,0.2,0.0,0.0,12.6,11.0,2.2,0.4,16.6,8.4,7.2,2.8,5.6,4.8,17.2,13.6,726.4,569.8,8.8,13.2,19.4,18.0,17.2,25.0,2.4,2.8,63.6,69.4,2.2,1.2,0.0,0.0,0.2,0.0,13.0,10.4,1.2,1.2,15.4,13.8,4.6,5.6,5.6,4.2,20.2,19.2,560.8,587.8,12.0,10.6,16.0,14.4,24.4,29.6,1.8,1.8,83.6,78.6,3.0,1.0,,,,,2019
54,6,Burnley,2.1,1.0,Bournemouth,4,0,4,17.0,6.0,3.0,8.0,20.0,26.0,0,3.0,0.0,3.0,3.4,2.5,1.8,1.8,0.0,0.2,0.0,0.0,8.2,12.6,0.6,2.0,10.0,21.2,2.8,7.2,3.6,5.8,22.8,17.4,552.8,622.8,9.0,7.2,15.0,12.4,26.4,28.2,2.8,1.8,90.4,85.0,1.6,3.2,0.2,0.2,0.0,0.2,10.6,11.6,2.0,1.4,11.8,14.0,4.0,4.6,5.4,5.0,13.6,21.8,527.4,617.2,7.4,11.8,13.0,19.2,31.2,27.0,1.4,1.4,62.8,81.2,0.2,2.0,,,,,2019
55,6,Man Utd,0.6,1.0,Wolves,1,1,0,5.0,17.0,5.0,4.0,23.0,9.0,1,1.0,1.0,1.55,4.2,7.0,2.2,1.8,0.2,0.0,0.2,0.0,11.8,11.2,1.6,1.6,14.4,8.0,4.2,1.6,5.0,3.6,18.8,18.0,671.2,558.0,9.6,11.6,13.2,20.4,26.8,23.6,2.6,1.6,78.8,76.8,1.0,2.2,0.0,0.4,0.0,0.0,10.0,8.8,1.0,1.0,15.6,10.0,4.4,3.6,5.8,4.4,21.6,17.6,629.6,612.4,10.2,10.4,17.6,19.0,24.0,25.6,1.6,1.6,80.2,66.4,1.8,1.6,,,,,2019
56,6,Leicester,1.7,0.7,Huddersfield,3,1,2,10.0,16.0,3.0,1.0,15.0,14.0,0,3.0,0.0,1.61,4.0,6.5,2.2,2.2,0.2,0.0,0.2,0.2,10.6,11.4,1.6,1.8,9.6,11.8,4.6,4.4,3.8,5.8,20.0,17.2,613.8,611.0,11.0,11.6,19.0,18.4,30.0,23.6,1.6,1.8,69.0,71.8,1.6,1.4,0.2,0.0,0.0,0.0,9.2,11.4,0.4,2.2,8.0,15.4,2.2,5.0,4.0,5.8,22.2,15.8,511.6,662.6,10.2,8.6,20.4,12.8,19.6,28.8,1.8,1.2,89.4,68.8,1.2,0.4,,,,,2019
57,6,Brighton,0.8,1.9,Tottenham,1,2,-1,15.0,9.0,5.0,7.0,14.0,15.0,2,0.0,3.0,5.0,4.0,1.75,2.0,1.8,0.0,0.0,0.0,0.0,14.2,11.0,1.4,1.8,9.0,15.0,2.6,5.2,4.2,4.6,17.2,16.8,515.4,705.4,17.4,10.8,19.2,16.2,23.4,17.2,2.4,1.8,82.2,72.4,1.2,1.2,0.0,0.0,0.0,0.0,12.4,10.4,2.0,1.2,14.2,12.0,4.2,3.8,5.4,3.4,18.8,13.2,698.8,554.4,11.4,13.4,18.8,14.0,22.6,30.6,1.4,2.0,78.6,82.0,1.0,1.8,,,,,2019
58,6,West Ham,1.0,1.5,Chelsea,0,0,0,11.0,9.0,1.0,8.0,11.0,28.0,1,1.0,1.0,6.0,4.5,1.57,3.6,1.4,0.0,0.0,0.0,0.0,11.6,13.2,1.0,2.2,10.2,15.6,3.8,6.6,3.6,4.8,14.6,18.2,557.8,649.2,12.2,8.6,19.8,18.4,22.4,19.8,1.4,2.2,68.6,62.6,0.8,1.8,0.0,0.0,0.0,0.0,9.2,10.2,2.8,0.8,18.8,8.2,6.2,2.4,5.4,3.4,17.8,15.4,889.6,447.2,7.0,16.4,13.4,17.4,19.6,25.8,1.6,1.6,58.6,76.6,0.6,3.0,,,,,2019
59,6,Arsenal,0.8,0.8,Everton,2,0,2,17.0,12.0,5.0,9.0,15.0,27.0,0,3.0,0.0,1.44,5.0,7.5,1.8,1.6,0.0,0.0,0.0,0.0,12.2,12.8,2.0,1.8,14.0,14.4,6.4,5.8,4.6,5.8,15.8,17.6,670.6,578.2,9.6,12.4,15.4,13.6,25.2,20.6,3.0,2.8,66.4,67.6,1.8,2.6,0.4,0.2,0.0,0.0,10.6,13.2,1.6,1.8,11.4,12.2,4.0,4.6,3.6,3.8,18.0,17.6,588.4,549.2,11.0,12.4,19.8,18.0,25.4,23.0,1.8,2.0,76.2,79.4,1.8,1.2,,,,,2019
