,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away
0,0,1,Fri,2018-08-10,20:00,Manchester Utd,1.5,1.8,Leicester City,"74,439",Old Trafford,Andre Marriner,/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,2,1,4-3-3,4-2-3-1,11.0,8.0,2.0,5.0,12.0,27.0,648.0,702.0,26.0,14.0,17.0,12.0,9.0,13.0,36.0,14.0,4.0,2.0,5.0,4.0,20.0,18.0,68.0,65.0,2.0,0.0,0.0,1.0,0.0,0.0,David de Gea,Victor Lindelöf,Eric Bailly,Paul Pogba,Alexis Sánchez,Juan Mata,Marcus Rashford,Andreas Pereira,Fred,Luke Shaw,Matteo Darmian,Lee Grant,Romelu Lukaku,Anthony Martial,Chris Smalling,Ashley Young,Marouane Fellaini,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Demarai Gray,Kelechi Iheanacho,James Maddison,Ricardo Pereira,Harry Maguire,Daniel Amartey,Adrien Silva,Wilfred Ndidi,Danny Ward,Jonny Evans,Jamie Vardy,Marc Albrighton,Vicente Iborra,Christian Fuchs
1,1,1,Sat,2018-08-11,12:30,Newcastle Utd,1.0,2.0,Tottenham,"51,749",St. James' Park,Martin Atkinson,/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,1,2,4-4-1-1,4-3-2-1,11.0,12.0,3.0,5.0,12.0,17.0,568.0,776.0,14.0,27.0,20.0,10.0,32.0,21.0,19.0,43.0,1.0,0.0,5.0,10.0,36.0,24.0,93.0,80.0,2.0,0.0,0.0,2.0,0.0,0.0,Martin Dúbravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu,DeAndre Yedlin,Karl Darlow,Ki Sung-yueng,Fabian Schär,Salomón Rondón,Yoshinori Mutō,Javier Manquillo,Hugo Lloris,Jan Vertonghen,Davinson Sánchez,Harry Kane,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Serge Aurier,Lucas Moura,Ben Davies,Michel Vorm,Toby Alderweireld,Son Heung-min,Kyle Walker-Peters,Fernando Llorente,Mousa Dembélé
2,2,1,Sat,2018-08-11,15:00,Fulham,0.7,1.0,Crystal Palace,"24,821",Craven Cottage,Mike Dean,/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,0,2,4-3-3,4-4-2,9.0,11.0,5.0,5.0,32.0,12.0,847.0,514.0,27.0,22.0,15.0,14.0,10.0,20.0,23.0,32.0,2.0,3.0,5.0,8.0,16.0,25.0,86.0,67.0,1.0,0.0,0.0,2.0,0.0,0.0,Fabricio,Ryan Sessegnon,Calum Chambers,Kevin McDonald,Aleksandar Mitrović,Tom Cairney,André Schürrle,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Jean Seri,Sergio Rico,Neeskens Kebano,Stefan Johansen,Luciano Vietto,Timothy Fosu-Mensah,Ibrahima Cissé,Wayne Hennessey,Patrick van Aanholt,Luka Milivojević,James Tomkins,Andros Townsend,Wilfried Zaha,Mamadou Sakho,Jeffrey Schlupp,Christian Benteke,James McArthur,Aaron Wan-Bissaka,Vicente Guaita,Joel Ward,Cheikhou Kouyaté,Alexander Sørloth,Pape Souaré,Martin Kelly
3,3,1,Sat,2018-08-11,15:00,Bournemouth,2.2,1.4,Cardiff City,"10,353",Vitality Stadium,Kevin Friend,/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,2,0,4-4-2,4-1-4-1,11.0,9.0,7.0,4.0,11.0,18.0,678.0,456.0,11.0,22.0,4.0,15.0,32.0,31.0,40.0,31.0,0.0,2.0,7.0,10.0,31.0,20.0,71.0,98.0,1.0,0.0,0.0,1.0,0.0,0.0,Asmir Begović,Steve Cook,Dan Gosling,Nathan Aké,Andrew Surman,Charlie Daniels,Callum Wilson,Adam Smith,Joshua King,David Brooks,Ryan Fraser,Artur Boruc,Simon Francis,Lys Mousset,Jordon Ibe,Lewis Cook,Jermain Defoe,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Joe Ralls,Callum Paterson,Bobby Reid,Nathaniel Mendez-Laing,Sol Bamba,Junior Hoilett,Alex Smithies,Jazz Richards,Danny Ward,Josh Murphy,Greg Cunningham,Víctor Camarasa
4,4,1,Sat,2018-08-11,15:00,Watford,1.2,0.3,Brighton,"20,051",Vicarage Road Stadium,Jonathan Moss,/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,2,0,4-2-2-2,4-4-1-1,10.0,16.0,8.0,2.0,20.0,15.0,566.0,537.0,18.0,16.0,12.0,17.0,15.0,24.0,13.0,26.0,0.0,3.0,8.0,10.0,16.0,19.0,96.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,Ben Foster,Daryl Janmaat,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,José Holebas,Christian Kabasele,Étienne Capoue,Roberto Pereyra,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Isaac Success,Adam Masina,Ken Sema,Mathew Ryan,Bruno,Shane Duffy,Lewis Dunk,Dale Stephens,Anthony Knockaert,Pascal Groß,Glenn Murray,Solly March,Davy Pröpper,Bernardo,David Button,Gaëtan Bong,Beram Kayal,Yves Bissouma,Jürgen Locadia,Leon Balogun
5,5,1,Sat,2018-08-11,15:00,Huddersfield,0.3,1.9,Chelsea,"24,121",The John Smith's Stadium,Chris Kavanagh,/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,0,3,3-5-1-1,4-3-3,9.0,8.0,2.0,5.0,23.0,11.0,519.0,806.0,25.0,12.0,16.0,9.0,21.0,16.0,13.0,22.0,2.0,1.0,5.0,6.0,23.0,30.0,106.0,60.0,2.0,0.0,0.0,1.0,0.0,0.0,Ben Hamer,Terence Kongolo,Jonathan Hogg,Philip Billing,Aaron Mooy,Chris Löwe,Alex Pritchard,Steve Mounié,Mathias Jørgensen,Christopher Schindler,Florent Hadergjonaj,Jonas Lössl,Tommy Smith,Adama Diakhaby,Ramadan Sobhi,Rajiv van La Parra,Laurent Depoitre,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Jorginho,N'Golo Kanté,Ross Barkley,Pedro,Willian,César Azpilicueta,Álvaro Morata,David Luiz,Willy Caballero,Eden Hazard,Ruben Loftus-Cheek,Victor Moses,Olivier Giroud,Davide Zappacosta
6,6,1,Sat,2018-08-11,17:30,Wolves,1.0,1.0,Everton,"31,231",Molineux Stadium,Craig Pawson,/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,2,2,3-4-3,4-2-3-1,8.0,7.0,3.0,6.0,25.0,15.0,710.0,562.0,13.0,23.0,9.0,11.0,21.0,22.0,24.0,33.0,2.0,3.0,1.0,10.0,31.0,19.0,84.0,76.0,0.0,0.0,0.0,1.0,1.0,0.0,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Hélder Costa,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,John Ruddy,Bright Enobakhare,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,Kortney Hause,Jordan Pickford,Leighton Baines,Michael Keane,Phil Jagielka,Gylfi Sigurðsson,Theo Walcott,Cenk Tosun,Idrissa Gana Gueye,Morgan Schneiderlin,Séamus Coleman,Richarlison,Maarten Stekelenburg,Mason Holgate,Sandro Ramírez,Lucas Digne,Oumar Niasse,Tom Davies
7,7,1,Sun,2018-08-12,13:30,Southampton,1.1,1.4,Burnley,"30,784",St. Mary's Stadium,Graham Scott,/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,0,0,3-4-3,4-4-1-1,10.0,9.0,8.0,5.0,22.0,20.0,536.0,568.0,16.0,10.0,4.0,6.0,27.0,29.0,30.0,38.0,2.0,5.0,6.0,12.0,23.0,15.0,73.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Jack Stephens,Wesley Hoedt,Charlie Austin,Oriol Romeu,Stuart Armstrong,Mario Lemina,Ryan Bertrand,Nathan Redmond,Angus Gunn,Danny Ings,Mohamed Elyounoussi,James Ward-Prowse,Manolo Gabbiadini,Pierre Højbjerg,Joe Hart,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Jeff Hendrick,Ashley Westwood,Stephen Ward,Aaron Lennon,Tom Heaton,Charlie Taylor,Sam Vokes,Ashley Barnes,Ben Gibson,Jonathan Walters
8,8,1,Sun,2018-08-12,13:30,Liverpool,4.0,0.7,West Ham,"53,235",Anfield,Anthony Taylor,/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,4,0,4-3-3,4-2-3-1,14.0,9.0,5.0,4.0,21.0,12.0,802.0,509.0,19.0,23.0,9.0,11.0,5.0,10.0,8.0,20.0,5.0,3.0,4.0,11.0,12.0,19.0,51.0,63.0,1.0,0.0,0.0,2.0,0.0,0.0,Alisson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Roberto Firmino,Sadio Mané,Mohamed Salah,Joe Gomez,Andrew Robertson,Trent Alexander-Arnold,Loris Karius,Nathaniel Clyne,Fabinho,Jordan Henderson,Daniel Sturridge,Adam Lallana,Łukasz Fabiański,Fabián Balbuena,Marko Arnautović,Felipe Anderson,Mark Noble,Jack Wilshere,Angelo Ogbonna,Ryan Fredericks,Arthur Masuaku,Michail Antonio,Declan Rice,Adrián,Pablo Zabaleta,Robert Snodgrass,Pedro Obiang,Javier Hernández,Andriy Yarmolenko
9,9,1,Sun,2018-08-12,16:00,Arsenal,0.5,1.7,Manchester City,"59,934",Emirates Stadium,Michael Oliver,/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,0,2,4-2-3-1,4-2-3-1,11.0,14.0,2.0,9.0,12.0,15.0,559.0,690.0,22.0,6.0,12.0,12.0,14.0,8.0,24.0,10.0,7.0,2.0,8.0,8.0,16.0,20.0,61.0,66.0,2.0,0.0,0.0,2.0,0.0,0.0,Petr Čech,Héctor Bellerín,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Aaron Ramsey,Mesut Özil,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles,Shkodran Mustafi,Mattéo Guendouzi,Granit Xhaka,Bernd Leno,Mohamed Elneny,Alexandre Lacazette,Lucas Torreira,Stephan Lichtsteiner,Rob Holding,Ederson,Kyle Walker,John Stones,Raheem Sterling,İlkay Gündoğan,Sergio Agüero,Aymeric Laporte,Bernardo Silva,Benjamin Mendy,Fernandinho,Riyad Mahrez,Claudio Bravo,Vincent Kompany,Kevin De Bruyne,Leroy Sané,Nicolás Otamendi,Gabriel Jesus
