,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_home,jogador19_home,jogador18_away,jogador19_away
0,0,1,Fri,2019-08-09,20:00,Liverpool,1.8,0.9,Norwich City,"53,333",Anfield,Michael Oliver,/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League,4,1,4-3-3,4-2-3-1,9.0,9.0,11.0,2.0,32.0,2.0,627.0,534.0,21.0,12.0,14.0,11.0,15.0,7.0,6.0,40.0,0.0,5.0,6.0,15.0,18.0,28.0,66.0,56.0,0.0,0.0,0.0,2.0,0.0,0.0,Alisson,Fabinho,Virgil van Dijk,Georginio Wijnaldum,Roberto Firmino,Mohamed Salah,Joe Gomez,Jordan Henderson,Andrew Robertson,Divock Origi,Trent Alexander-Arnold,Adrián,James Milner,Naby Keïta,Sadio Mané,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Tim Krul,Max Aarons,Ben Godfrey,Grant Hanley,Jamal Lewis,Todd Cantwell,Emi Buendía,Marco Stiepermann,Tom Trybull,Teemu Pukki,Kenny McLean,Ralf Fährmann,Sam Byram,Patrick Roberts,Mario Vrančić,Moritz Leitner,Onel Hernández,nan,nan,nan,nan
1,1,1,Sat,2019-08-10,12:30,West Ham,1.1,3.2,Manchester City,"59,870",London Stadium,Mike Dean,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,0,5,4-2-3-1,4-3-3,6.0,13.0,1.0,1.0,12.0,6.0,523.0,682.0,18.0,18.0,9.0,13.0,18.0,17.0,10.0,13.0,2.0,4.0,6.0,5.0,22.0,14.0,55.0,49.0,2.0,0.0,0.0,2.0,0.0,0.0,Łukasz Fabiański,Aaron Cresswell,Fabián Balbuena,Felipe Anderson,Manuel Lanzini,Jack Wilshere,Sébastien Haller,Issa Diop,Ryan Fredericks,Michail Antonio,Declan Rice,Roberto,Pablo Zabaleta,Javier Hernández,Robert Snodgrass,Carlos Sánchez,Pablo Fornals,Ederson,Kyle Walker,John Stones,Raheem Sterling,Gabriel Jesus,Oleksandr Zinchenko,Aymeric Laporte,Rodri,Kevin De Bruyne,David Silva,Riyad Mahrez,Claudio Bravo,İlkay Gündoğan,Sergio Agüero,Bernardo Silva,João Cancelo,Nicolás Otamendi,nan,nan,nan,nan
2,2,1,Sat,2019-08-10,15:00,Burnley,0.9,1.2,Southampton,"19,784",Turf Moor,Graham Scott,/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League,3,0,4-4-2,3-4-3,6.0,12.0,2.0,7.0,14.0,10.0,507.0,556.0,21.0,7.0,14.0,10.0,22.0,22.0,14.0,18.0,5.0,1.0,6.0,11.0,36.0,34.0,93.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,Nick Pope,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Ashley Barnes,Dwight McNeil,Ashley Westwood,Erik Pieters,Joe Hart,Jeff Hendrick,Ben Gibson,Jay Rodriguez,Aaron Lennon,Phil Bardsley,Angus Gunn,Jannik Vestergaard,Jack Stephens,Danny Ings,Che Adams,Oriol Romeu,James Ward-Prowse,Ryan Bertrand,Nathan Redmond,Jan Bednarek,Yan Valery,Alex McCarthy,Cédric Soares,Maya Yoshida,Moussa Djenepo,Sofiane Boufal,Michael Obafemi,nan,nan,nan,nan
3,3,1,Sat,2019-08-10,15:00,Watford,0.7,0.8,Brighton,"20,245",Vicarage Road Stadium,Craig Pawson,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,0,3,4-2-2-2,3-4-3,15.0,11.0,5.0,2.0,14.0,12.0,562.0,597.0,12.0,24.0,12.0,11.0,14.0,18.0,13.0,25.0,0.0,3.0,7.0,8.0,26.0,19.0,60.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,Ben Foster,Craig Dawson,Gerard Deulofeu,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,Kiko Femenía,José Holebas,Étienne Capoue,Heurelho Gomes,Daryl Janmaat,Tom Cleverley,Ken Sema,Isaac Success,Christian Kabasele,Mathew Ryan,Shane Duffy,Lewis Dunk,Dale Stephens,Jürgen Locadia,Pascal Groß,Glenn Murray,Solly March,Martín Montoya,Davy Pröpper,Dan Burn,David Button,Neal Maupay,Florin Andone,Leandro Trossard,Adam Webster,Aaron Mooy,nan,nan,nan,nan
4,4,1,Sat,2019-08-10,15:00,Crystal Palace,0.9,1.1,Everton,"25,151",Selhurst Park,Jonathan Moss,/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League,0,0,4-4-2,4-2-3-1,16.0,14.0,6.0,2.0,14.0,17.0,427.0,690.0,21.0,14.0,10.0,14.0,30.0,18.0,24.0,19.0,4.0,0.0,10.0,5.0,30.0,39.0,69.0,79.0,2.0,0.0,0.0,3.0,0.0,1.0,Vicente Guaita,Joel Ward,Patrick van Aanholt,Luka Milivojević,Scott Dann,Max Meyer,Jordan Ayew,Andros Townsend,Christian Benteke,James McArthur,Martin Kelly,Wayne Hennessey,Cheikhou Kouyaté,Wilfried Zaha,Connor Wickham,James McCarthy,Víctor Camarasa,Jordan Pickford,Michael Keane,Richarlison,Dominic Calvert-Lewin,Gylfi Sigurðsson,Lucas Digne,Yerry Mina,Morgan Schneiderlin,Bernard,André Gomes,Séamus Coleman,Jonas Lössl,Mason Holgate,Theo Walcott,Cenk Tosun,Jean-Philippe Gbamin,Tom Davies,nan,nan,nan,nan
5,5,1,Sat,2019-08-10,15:00,Bournemouth,1.3,1.3,Sheffield Utd,"10,714",Vitality Stadium,Kevin Friend,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,1,1,3-4-3,3-5-2,10.0,19.0,3.0,4.0,14.0,18.0,633.0,584.0,18.0,14.0,13.0,14.0,13.0,20.0,15.0,16.0,1.0,1.0,9.0,8.0,27.0,27.0,77.0,94.0,2.0,0.0,0.0,1.0,0.0,0.0,Aaron Ramsdale,Steve Cook,Nathan Aké,Joshua King,Jefferson Lerma,Callum Wilson,Adam Smith,Diego Rico,Ryan Fraser,Philip Billing,Chris Mepham,Artur Boruc,Andrew Surman,Dominic Solanke,Jordon Ibe,Charlie Daniels,Harry Wilson,Dean Henderson,George Baldock,Enda Stevens,John Fleck,Jack O'Connell,Chris Basham,John Lundstram,Callum Robinson,John Egan,Oliver Norwood,David McGoldrick,Simon Moore,Luke Freeman,Oliver McBurnie,Billy Sharp,Phil Jagielka,Ben Osborn,nan,nan,nan,nan
6,6,1,Sat,2019-08-10,17:30,Tottenham,2.4,0.7,Aston Villa,"60,407",Tottenham Hotspur Stadium,Chris Kavanagh,/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League,3,1,4-3-1-2,4-1-4-1,13.0,9.0,14.0,0.0,38.0,8.0,749.0,422.0,17.0,29.0,5.0,9.0,10.0,12.0,6.0,46.0,1.0,0.0,2.0,13.0,22.0,9.0,56.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,Hugo Lloris,Danny Rose,Toby Alderweireld,Davinson Sánchez,Harry Winks,Harry Kane,Érik Lamela,Kyle Walker-Peters,Moussa Sissoko,Lucas Moura,Tanguy Ndombele,Paulo Gazzaniga,Victor Wanyama,Georges-Kévin N'Koudou,Eric Dier,Christian Eriksen,Serge Aurier,Tom Heaton,Neil Taylor,John McGinn,Wesley Moraes,Jack Grealish,Conor Hourihane,Trézéguet,Anwar El Ghazi,Björn Engels,Ahmed Elmohamady,Tyrone Mings,Jed Steer,Douglas Luiz,Henri Lansbury,Ezri Konsa,Matt Targett,Jota,nan,nan,nan,nan
7,7,1,Sun,2019-08-11,14:00,Newcastle Utd,0.4,1.1,Arsenal,"47,635",St. James' Park,Martin Atkinson,/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League,0,1,3-5-2,4-2-3-1,12.0,7.0,5.0,3.0,15.0,10.0,548.0,771.0,26.0,11.0,20.0,6.0,21.0,14.0,17.0,22.0,1.0,3.0,8.0,8.0,23.0,30.0,68.0,57.0,1.0,0.0,0.0,3.0,0.0,0.0,Martin Dúbravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Jonjo Shelvey,Joelinton,Matt Ritchie,Isaac Hayden,Javier Manquillo,Miguel Almirón,Sean Longstaff,Karl Darlow,Ciaran Clark,Allan Saint-Maximin,Yoshinori Mutō,Jetro Willems,Emil Krafth,Bernd Leno,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles,Nacho Monreal,Calum Chambers,Reiss Nelson,Joe Willock,Mattéo Guendouzi,Granit Xhaka,Emiliano Martínez,Dani Ceballos,Alexandre Lacazette,Lucas Torreira,Nicolas Pépé,David Luiz,nan,nan,nan,nan
8,8,1,Sun,2019-08-11,14:00,Leicester City,0.7,0.7,Wolves,"32,015",King Power Stadium,Andre Marriner,/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,0,0,4-1-4-1,3-5-2,3.0,13.0,12.0,3.0,29.0,6.0,834.0,482.0,20.0,19.0,7.0,9.0,24.0,21.0,13.0,35.0,0.0,1.0,7.0,14.0,24.0,32.0,56.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,Kasper Schmeichel,Ben Chilwell,Çağlar Söyüncü,Jonny Evans,Youri Tielemans,Jamie Vardy,James Maddison,Ayoze Pérez,Hamza Choudhury,Ricardo Pereira,Wilfred Ndidi,Danny Ward,James Justin,Wes Morgan,Marc Albrighton,Kelechi Iheanacho,Harvey Barnes,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,Leander Dendoncker,John Ruddy,Pedro Neto,Patrick Cutrone,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,nan,nan,nan,nan
9,9,1,Sun,2019-08-11,16:30,Manchester Utd,2.2,1.0,Chelsea,"73,620",Old Trafford,Anthony Taylor,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,4,0,4-2-3-1,4-2-3-1,15.0,13.0,3.0,5.0,14.0,19.0,597.0,687.0,16.0,21.0,12.0,15.0,13.0,9.0,20.0,13.0,2.0,0.0,7.0,2.0,16.0,23.0,59.0,48.0,3.0,0.0,0.0,4.0,0.0,0.0,David de Gea,Victor Lindelöf,Harry Maguire,Paul Pogba,Anthony Martial,Marcus Rashford,Jesse Lingard,Andreas Pereira,Luke Shaw,Aaron Wan-Bissaka,Scott McTominay,Sergio Romero,Juan Mata,Ashley Young,Daniel James,Mason Greenwood,Nemanja Matić,Kepa Arrizabalaga,Andreas Christensen,Jorginho,Ross Barkley,Tammy Abraham,Pedro,Kurt Zouma,Mateo Kovačić,Mason Mount,César Azpilicueta,Emerson Palmieri,Willy Caballero,Marcos Alonso,N'Golo Kanté,Kenedy,Olivier Giroud,Christian Pulisic,nan,nan,nan,nan
