,Unnamed: 0,Matchday,Day,Date,Time,home,xG_home,xG_away,away,Assistance,Venue,Referee,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away
0,0,1,Fri,2022-08-05,20:00,Crystal Palace,1.2,1.0,Arsenal,"25,286",Selhurst Park,Anthony Taylor,/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League,0,2,4-2-3-1,4-3-3,16.0,11.0,3.0,5.0,19.0,11.0,726.0,599.0,18.0,29.0,8.0,9.0,10.0,14.0,18.0,24.0,1.0,2.0,4.0,2.0,25.0,14.0,83.0,59.0,1.0,0.0,0.0,2.0,0.0,0.0,Vicente Guaita,Tyrick Mitchell,Marc Guéhi,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Jeffrey Schlupp,Joachim Andersen,Nathaniel Clyne,Odsonne Édouard,Cheick Doucouré,Sam Johnstone,Joel Ward,Luka Milivojević,Jean-Philippe Mateta,Will Hughes,Malcolm Ebiowei,Chris Richards,Jaïro Riedewald,Aaron Ramsdale,Ben White,Thomas Partey,Gabriel Dos Santos,Bukayo Saka,Martin Ødegaard,Gabriel Jesus,Gabriel Martinelli,William Saliba,Granit Xhaka,Oleksandr Zinchenko,Matt Turner,Kieran Tierney,Eddie Nketiah,Rob Holding,Cédric Soares,Nicolas Pépé,Albert Sambi Lokonga,Reiss Nelson
1,1,1,Sat,2022-08-06,12:30,Fulham,1.2,1.2,Liverpool,"22,207",Craven Cottage,Andy Madley,/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League,2,2,4-2-3-1,4-3-3,7.0,9.0,4.0,4.0,19.0,18.0,474.0,784.0,24.0,11.0,10.0,10.0,23.0,13.0,31.0,16.0,4.0,4.0,8.0,5.0,22.0,35.0,77.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,Marek Rodák,Kenny Tete,Tosin Adarabioyo,Harrison Reed,Neeskens Kebano,Aleksandar Mitrović,Tim Ream,Bobby Reid,Andreas Pereira,João Palhinha,Antonee Robinson,Bernd Leno,Shane Duffy,Tom Cairney,Manor Solomon,Rodrigo Muniz,Kevin Mbabu,Tyrese Francois,Luke Harris,Alisson,Fabinho,Virgil van Dijk,Thiago Alcántara,Roberto Firmino,Mohamed Salah,Jordan Henderson,Luis Díaz,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Adrián,Joe Gomez,James Milner,Harvey Elliott,Darwin Núñez,Fabio Carvalho,Stefan Bajcetic,Sepp van den Berg
2,2,1,Sat,2022-08-06,15:00,Tottenham,1.5,0.5,Southampton,"61,732",Tottenham Hotspur Stadium,Andre Marriner,/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,4,1,3-4-3,5-3-2,11.0,6.0,10.0,2.0,24.0,18.0,709.0,554.0,24.0,14.0,3.0,13.0,13.0,11.0,20.0,21.0,2.0,0.0,6.0,4.0,20.0,14.0,85.0,61.0,3.0,0.0,0.0,0.0,0.0,0.0,Hugo Lloris,Pierre Højbjerg,Son Heung-min,Harry Kane,Emerson,Eric Dier,Cristian Romero,Ryan Sessegnon,Dejan Kulusevski,Rodrigo Bentancur,Ben Davies,Fraser Forster,Matt Doherty,Davinson Sánchez,Bryan Gil,Ivan Perišić,Djed Spence,Lucas Moura,Clément Lenglet,Gavin Bazunu,Kyle Walker-Peters,Oriol Romeu,Joe Aribo,James Ward-Prowse,Adam Armstrong,Moussa Djenepo,Mohammed Salisu,Jan Bednarek,Yan Valery,Roméo Lavia,Alex McCarthy,Jack Stephens,Che Adams,Nathan Redmond,Romain Perraud,Stuart Armstrong,Mohamed Elyounoussi,Ibrahima Diallo
3,3,1,Sat,2022-08-06,15:00,Newcastle Utd,1.7,0.3,Nott'ham Forest,"52,245",St James' Park,Simon Hooper,/en/matches/1ac96eb4/Newcastle-United-Nottingham-Forest-August-6-2022-Premier-League,2,0,4-3-3,3-4-1-2,9.0,14.0,11.0,1.0,25.0,9.0,634.0,475.0,19.0,15.0,11.0,10.0,12.0,16.0,14.0,37.0,2.0,0.0,2.0,12.0,21.0,26.0,64.0,70.0,0.0,0.0,0.0,3.0,0.0,0.0,Nick Pope,Kieran Trippier,Fabian Schär,Joelinton,Callum Wilson,Allan Saint-Maximin,Matt Targett,Miguel Almirón,Joe Willock,Dan Burn,Bruno Guimarães,Martin Dúbravka,Paul Dummett,Sven Botman,Matt Ritchie,Chris Wood,Ryan Fraser,Jacob Murphy,Elliot Anderson,Dean Henderson,Joe Worrall,Neco Williams,Jack Colback,Jesse Lingard,Lewis O'Brien,Harry Toffolo,Sam Surridge,Moussa Niakhate,Brennan Johnson,Scott McKenna,Wayne Hennessey,Giulian Biancone,Orel Mangala,Loïc Mbe Soh,Taiwo Awoniyi,Alex Mighten,Cafú,Lyle Taylor
4,4,1,Sat,2022-08-06,15:00,Leeds United,0.8,1.3,Wolves,"36,347",Elland Road,Robert Jones,/en/matches/82702941/Leeds-United-Wolverhampton-Wanderers-August-6-2022-Premier-League,2,1,4-2-3-1,4-2-3-1,13.0,9.0,6.0,4.0,20.0,20.0,515.0,720.0,21.0,16.0,14.0,14.0,9.0,7.0,23.0,17.0,0.0,1.0,9.0,9.0,16.0,23.0,60.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,Illan Meslier,Robin Koch,Brenden Aaronson,Marc Roca,Patrick Bamford,Jack Harrison,Tyler Adams,Diego Llorente,Rodrigo,Pascal Struijk,Rasmus Nissen,Kristoffer Klaesson,Crysencio Summerville,Darko Gyabi,Joe Gelhardt,Leo Fuhr Hjelde,Cody Drameh,Sam Greenwood,Mateusz Klich,José Sá,Rayan Aït Nouri,Nathan Collins,Pedro Neto,Rúben Neves,Daniel Podence,Hwang Hee-chan,Morgan Gibbs-White,Jonny Castro,Max Kilman,Leander Dendoncker,Matija Šarkić,Yerson Mosquera,Willy Boly,Conor Coady,Connor Ronan,Luke Cundle,Joseph Hodge,Hugo Bueno
5,5,1,Sat,2022-08-06,15:00,Bournemouth,0.6,0.7,Aston Villa,"11,013",Vitality Stadium,Peter Bankes,/en/matches/877e3193/Bournemouth-Aston-Villa-August-6-2022-Premier-League,2,0,3-4-3,4-3-3,18.0,16.0,5.0,5.0,11.0,31.0,462.0,721.0,20.0,10.0,13.0,8.0,16.0,16.0,40.0,9.0,1.0,4.0,12.0,3.0,14.0,19.0,68.0,70.0,3.0,0.0,0.0,3.0,0.0,0.0,Mark Travers,Lloyd Kelly,Chris Mepham,Jefferson Lerma,Dominic Solanke,Adam Smith,Marcus Tavernier,Kieffer Moore,Ben Pearson,Philip Billing,Jordan Zemura,Will Dennis,Lewis Cook,Ryan Christie,Emiliano Marcondes,Jack Stacey,Junior Stanislas,Siriki Dembélé,James Hill,Emiliano Martínez,Matty Cash,Diego Carlos,Ezri Konsa,John McGinn,Danny Ings,Philippe Coutinho,Lucas Digne,Leon Bailey,Jacob Ramsey,Boubacar Kamara,Robin Olsen,Tyrone Mings,Douglas Luiz,Emi Buendía,Ollie Watkins,Calum Chambers,Ludwig Augustinsson,Ashley Young
6,6,1,Sat,2022-08-06,17:30,Everton,0.7,1.5,Chelsea,"39,254",Goodison Park,Craig Pawson,/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,0,1,5-4-1,3-4-3,14.0,11.0,4.0,16.0,15.0,25.0,495.0,730.0,24.0,19.0,8.0,9.0,12.0,22.0,26.0,16.0,0.0,2.0,5.0,7.0,22.0,17.0,71.0,46.0,3.0,0.0,0.0,2.0,0.0,0.0,Jordan Pickford,James Tarkowski,Nathan Patterson,Dwight McNeil,Anthony Gordon,Demarai Gray,Yerry Mina,Abdoulaye Doucouré,Alex Iwobi,Vitaliy Mykolenko,Ben Godfrey,Asmir Begović,Mason Holgate,Michael Keane,Allan,Dele Alli,Jean-Philippe Gbamin,Rúben Vinagre,Lewis Warrington,Edouard Mendy,Jorginho,Thiago Silva,N'Golo Kanté,Raheem Sterling,Mason Mount,Ben Chilwell,Reece James,Kalidou Koulibaly,César Azpilicueta,Kai Havertz,Kepa Arrizabalaga,Mateo Kovačić,Christian Pulisic,Ruben Loftus-Cheek,Trevoh Chalobah,Armando Broja,Hakim Ziyech,Conor Gallagher
7,7,1,Sun,2022-08-07,14:00,Leicester City,0.6,0.8,Brentford,"31,794",King Power Stadium,Jarred Gillett,/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,2,2,3-5-1-1,4-3-3,6.0,5.0,5.0,6.0,10.0,16.0,725.0,580.0,13.0,10.0,10.0,8.0,14.0,15.0,13.0,16.0,2.0,2.0,3.0,7.0,20.0,12.0,42.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,Danny Ward,James Justin,Wesley Fofana,Jonny Evans,Youri Tielemans,Jamie Vardy,James Maddison,Daniel Amartey,Kiernan Dewsbury-Hall,Wilfred Ndidi,Timothy Castagne,Daniel Iversen,Çağlar Söyüncü,Marc Albrighton,Kelechi Iheanacho,Ayoze Pérez,Patson Daka,Nampalys Mendy,Dennis Praet,David Raya,Aaron Hickey,Rico Henry,Christian Nørgaard,Mathias Jensen,Yoane Wissa,Ben Mee,Ivan Toney,Pontus Jansson,Bryan Mbeumo,Vitaly Janelt,Thomas Strakosha,Josh Dasilva,Frank Onyeka,Halil Dervişoğlu,Keane Lewis-Potter,Shandon Baptiste,Mads Bech Sørensen,Mads Roerslev
8,8,1,Sun,2022-08-07,14:00,Manchester Utd,1.4,1.5,Brighton,"73,711",Old Trafford,Paul Tierney,/en/matches/8251694e/Manchester-United-Brighton-and-Hove-Albion-August-7-2022-Premier-League,1,2,4-3-3,3-3-3-1,7.0,12.0,6.0,2.0,24.0,12.0,708.0,483.0,12.0,14.0,15.0,12.0,11.0,9.0,11.0,24.0,3.0,1.0,11.0,11.0,22.0,22.0,74.0,78.0,4.0,0.0,0.0,1.0,0.0,0.0,David de Gea,Harry Maguire,Lisandro Martínez,Bruno Fernandes,Marcus Rashford,Christian Eriksen,Fred,Diogo Dalot,Luke Shaw,Jadon Sancho,Scott McTominay,Tom Heaton,Cristiano Ronaldo,Tyrell Malacia,Raphaël Varane,Aaron Wan-Bissaka,Donny van de Beek,Anthony Elanga,James Garner,Robert Sánchez,Adam Webster,Lewis Dunk,Solly March,Alexis Mac Allister,Leandro Trossard,Pascal Groß,Adam Lallana,Danny Welbeck,Moisés Caicedo,Joël Veltman,Jason Steele,Tariq Lamptey,Levi Colwill,Enock Mwepu,Neal Maupay,Jeremy Sarmiento,Deniz Undav,Kaoru Mitoma
9,9,1,Sun,2022-08-07,16:30,West Ham,0.5,2.2,Manchester City,"62,443",London Stadium,Michael Oliver,/en/matches/ece62baf/West-Ham-United-Manchester-City-August-7-2022-Premier-League,0,2,4-2-3-1,4-3-3,8.0,4.0,1.0,4.0,12.0,18.0,377.0,936.0,14.0,6.0,11.0,3.0,10.0,11.0,16.0,11.0,4.0,1.0,11.0,5.0,11.0,12.0,66.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,Łukasz Fabiański,Ben Johnson,Aaron Cresswell,Kurt Zouma,Vladimír Coufal,Pablo Fornals,Michail Antonio,Manuel Lanzini,Jarrod Bowen,Tomáš Souček,Declan Rice,Alphonse Areola,Darren Randolph,Gianluca Scamacca,Nikola Vlašić,Flynn Downes,Saïd Benrahma,Conor Coventry,Armstrong Okoflex,Ederson,Kyle Walker,Rúben Dias,Nathan Aké,João Cancelo,İlkay Gündoğan,Erling Haaland,Jack Grealish,Rodri,Kevin De Bruyne,Phil Foden,Stefan Ortega,Kalvin Phillips,John Stones,Julián Álvarez,Bernardo Silva,Riyad Mahrez,Cole Palmer,Rico Lewis
