Unnamed: 0.1,Unnamed: 0,Matchday,Day,Date_x,Time_x,home,xG_home,xG_away,away,Assistance,Venue,Referee_x,Match Report,goals_home,goals_away,formacao_home,formacao_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Crosses_home,Crosses_away,Touches_home,Touches_away,Tackles_home,Tackles_away,Interceptions_home,Interceptions_away,Aerials Won_home,Aerials Won_away,Clearances_home,Clearances_away,Offsides_home,Offsides_away,Goal Kicks_home,Goal Kicks_away,Throw Ins_home,Throw Ins_away,Long Balls_home,Long Balls_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_home,jogador19_home,jogador18_away,jogador19_away,Div,Date_y,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee_y,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Season,Time_y,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,0,1,Fri,2019-08-09,20:00,Liverpool,1.8,0.9,Norwich,"53,333",Anfield,Michael Oliver,/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League,4,1,4-3-3,4-2-3-1,9.0,9.0,11.0,2.0,32.0,2.0,627.0,534.0,21.0,12.0,14.0,11.0,15.0,7.0,6.0,40.0,0.0,5.0,6.0,15.0,18.0,28.0,66.0,56.0,0.0,0.0,0.0,2.0,0.0,0.0,Alisson,Fabinho,Virgil van Dijk,Georginio Wijnaldum,Roberto Firmino,Mohamed Salah,Joe Gomez,Jordan Henderson,Andrew Robertson,Divock Origi,Trent Alexander-Arnold,Adrián,James Milner,Naby Keïta,Sadio Mané,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Tim Krul,Max Aarons,Ben Godfrey,Grant Hanley,Jamal Lewis,Todd Cantwell,Emi Buendía,Marco Stiepermann,Tom Trybull,Teemu Pukki,Kenny McLean,Ralf Fährmann,Sam Byram,Patrick Roberts,Mario Vrančić,Moritz Leitner,Onel Hernández,,,,,E0,09/08/2019,4.0,1.0,H,4.0,0.0,H,M Oliver,15.0,12.0,7.0,5.0,9.0,9.0,11.0,2.0,0.0,2.0,0.0,0.0,1.14,10.0,19.0,1.14,8.25,18.5,1.15,8.0,18.0,,,,1.15,9.59,18.05,1.12,8.5,21.0,1.14,9.5,23.0,,,,,,,,,,,,,,,,,,,1.14,10.43,19.63,2019.0,20:00,1.16,10.0,23.0,1.14,8.75,19.83,1.4,3.0,1.4,3.11,1.45,3.11,1.41,2.92,-2.25,1.96,1.94,1.97,1.95,1.97,2.0,1.94,1.94,1.14,9.5,21.0,1.14,9.0,20.0,1.15,8.0,18.0,1.11,9.5,21.0,1.14,9.5,23.0,1.16,10.5,23.0,1.14,9.52,19.18,1.3,3.5,1.34,3.44,1.36,3.76,1.32,3.43,-2.25,1.91,1.99,1.94,1.98,1.99,2.07,1.9,1.99
1,1,1,Sat,2019-08-10,12:30,West Ham,1.1,3.2,Man City,"59,870",London Stadium,Mike Dean,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,0,5,4-2-3-1,4-3-3,6.0,13.0,1.0,1.0,12.0,6.0,523.0,682.0,18.0,18.0,9.0,13.0,18.0,17.0,10.0,13.0,2.0,4.0,6.0,5.0,22.0,14.0,55.0,49.0,2.0,0.0,0.0,2.0,0.0,0.0,Łukasz Fabiański,Aaron Cresswell,Fabián Balbuena,Felipe Anderson,Manuel Lanzini,Jack Wilshere,Sébastien Haller,Issa Diop,Ryan Fredericks,Michail Antonio,Declan Rice,Roberto,Pablo Zabaleta,Javier Hernández,Robert Snodgrass,Carlos Sánchez,Pablo Fornals,Ederson,Kyle Walker,John Stones,Raheem Sterling,Gabriel Jesus,Oleksandr Zinchenko,Aymeric Laporte,Rodri,Kevin De Bruyne,David Silva,Riyad Mahrez,Claudio Bravo,İlkay Gündoğan,Sergio Agüero,Bernardo Silva,João Cancelo,Nicolás Otamendi,,,,,E0,10/08/2019,0.0,5.0,A,0.0,1.0,A,M Dean,5.0,14.0,3.0,9.0,6.0,13.0,1.0,1.0,2.0,2.0,0.0,0.0,12.0,6.5,1.22,11.5,5.75,1.26,11.0,6.1,1.25,,,,11.68,6.53,1.26,13.0,6.0,1.24,12.0,6.5,1.25,,,,,,,,,,,,,,,,,,,11.11,6.68,1.27,2019.0,12:30,13.0,6.75,1.29,11.84,6.28,1.25,1.44,2.75,1.49,2.77,1.51,2.77,1.48,2.65,1.75,2.0,1.9,2.02,1.9,2.02,1.92,1.99,1.89,12.0,7.0,1.25,11.0,6.0,1.26,11.0,6.1,1.25,11.0,6.5,1.24,12.0,6.5,1.25,13.0,7.0,1.29,11.14,6.46,1.26,1.4,3.0,1.43,3.03,1.5,3.22,1.41,2.91,1.75,1.95,1.95,1.96,1.97,2.07,1.98,1.97,1.92
2,2,1,Sat,2019-08-10,15:00,Burnley,0.9,1.2,Southampton,"19,784",Turf Moor,Graham Scott,/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League,3,0,4-4-2,3-4-3,6.0,12.0,2.0,7.0,14.0,10.0,507.0,556.0,21.0,7.0,14.0,10.0,22.0,22.0,14.0,18.0,5.0,1.0,6.0,11.0,36.0,34.0,93.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,Nick Pope,Matthew Lowton,Jack Cork,James Tarkowski,Ben Mee,Jóhann Berg Guðmundsson,Chris Wood,Ashley Barnes,Dwight McNeil,Ashley Westwood,Erik Pieters,Joe Hart,Jeff Hendrick,Ben Gibson,Jay Rodriguez,Aaron Lennon,Phil Bardsley,Angus Gunn,Jannik Vestergaard,Jack Stephens,Danny Ings,Che Adams,Oriol Romeu,James Ward-Prowse,Ryan Bertrand,Nathan Redmond,Jan Bednarek,Yan Valery,Alex McCarthy,Cédric Soares,Maya Yoshida,Moussa Djenepo,Sofiane Boufal,Michael Obafemi,,,,,E0,10/08/2019,3.0,0.0,H,0.0,0.0,D,G Scott,10.0,11.0,4.0,3.0,6.0,12.0,2.0,7.0,0.0,0.0,0.0,0.0,2.62,3.2,2.75,2.65,3.2,2.75,2.65,3.2,2.75,,,,2.71,3.31,2.81,2.7,3.2,2.75,2.7,3.3,2.8,,,,,,,,,,,,,,,,,,,2.71,3.19,2.9,2019.0,15:00,2.8,3.33,2.85,2.68,3.22,2.78,2.1,1.72,2.17,1.77,2.2,1.78,2.12,1.73,0.0,1.92,1.98,1.93,2.0,1.94,2.0,1.91,1.98,2.7,3.25,2.9,2.65,3.1,2.85,2.6,3.2,2.85,2.62,3.2,2.8,2.7,3.25,2.9,2.72,3.26,2.95,2.65,3.18,2.88,2.1,1.72,2.19,1.76,2.25,1.78,2.17,1.71,0.0,1.87,2.03,1.89,2.03,1.9,2.07,1.86,2.02
3,3,1,Sat,2019-08-10,15:00,Watford,0.7,0.8,Brighton,"20,245",Vicarage Road Stadium,Craig Pawson,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,0,3,4-2-2-2,3-4-3,15.0,11.0,5.0,2.0,14.0,12.0,562.0,597.0,12.0,24.0,12.0,11.0,14.0,18.0,13.0,25.0,0.0,3.0,7.0,8.0,26.0,19.0,60.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,Ben Foster,Craig Dawson,Gerard Deulofeu,Troy Deeney,Craig Cathcart,Abdoulaye Doucouré,Andre Gray,Will Hughes,Kiko Femenía,José Holebas,Étienne Capoue,Heurelho Gomes,Daryl Janmaat,Tom Cleverley,Ken Sema,Isaac Success,Christian Kabasele,Mathew Ryan,Shane Duffy,Lewis Dunk,Dale Stephens,Jürgen Locadia,Pascal Groß,Glenn Murray,Solly March,Martín Montoya,Davy Pröpper,Dan Burn,David Button,Neal Maupay,Florin Andone,Leandro Trossard,Adam Webster,Aaron Mooy,,,,,E0,10/08/2019,0.0,3.0,A,0.0,1.0,A,C Pawson,11.0,5.0,3.0,3.0,15.0,11.0,5.0,2.0,0.0,1.0,0.0,0.0,1.9,3.4,4.0,1.9,3.4,4.33,1.93,3.4,4.25,,,,1.98,3.44,4.37,1.95,3.4,4.2,1.95,3.5,4.33,,,,,,,,,,,,,,,,,,,2.05,3.38,4.12,2019.0,15:00,2.0,3.5,4.6,1.94,3.41,4.26,2.1,1.72,2.19,1.76,2.24,1.76,2.16,1.71,-0.5,1.95,1.95,1.98,1.95,1.98,1.98,1.94,1.94,2.1,3.25,4.2,2.1,3.1,4.0,2.05,3.2,4.0,2.05,3.25,4.0,2.15,3.3,3.9,2.15,3.38,4.2,2.07,3.27,4.04,2.1,1.72,2.16,1.78,2.2,1.78,2.14,1.73,-0.5,2.04,1.86,2.05,1.88,2.12,1.91,2.05,1.84
4,4,1,Sat,2019-08-10,15:00,Crystal Palace,0.9,1.1,Everton,"25,151",Selhurst Park,Jonathan Moss,/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League,0,0,4-4-2,4-2-3-1,16.0,14.0,6.0,2.0,14.0,17.0,427.0,690.0,21.0,14.0,10.0,14.0,30.0,18.0,24.0,19.0,4.0,0.0,10.0,5.0,30.0,39.0,69.0,79.0,2.0,0.0,0.0,3.0,0.0,1.0,Vicente Guaita,Joel Ward,Patrick van Aanholt,Luka Milivojević,Scott Dann,Max Meyer,Jordan Ayew,Andros Townsend,Christian Benteke,James McArthur,Martin Kelly,Wayne Hennessey,Cheikhou Kouyaté,Wilfried Zaha,Connor Wickham,James McCarthy,Víctor Camarasa,Jordan Pickford,Michael Keane,Richarlison,Dominic Calvert-Lewin,Gylfi Sigurðsson,Lucas Digne,Yerry Mina,Morgan Schneiderlin,Bernard,André Gomes,Séamus Coleman,Jonas Lössl,Mason Holgate,Theo Walcott,Cenk Tosun,Jean-Philippe Gbamin,Tom Davies,,,,,E0,10/08/2019,0.0,0.0,D,0.0,0.0,D,J Moss,6.0,10.0,2.0,3.0,16.0,14.0,6.0,2.0,2.0,1.0,0.0,1.0,3.0,3.25,2.37,3.2,3.2,2.35,3.1,3.2,2.4,,,,3.21,3.37,2.39,3.1,3.3,2.35,3.2,3.3,2.45,,,,,,,,,,,,,,,,,,,3.37,3.45,2.27,2019.0,15:00,3.21,3.4,2.52,3.13,3.27,2.4,2.2,1.66,2.23,1.74,2.25,1.74,2.18,1.7,0.25,1.85,2.05,1.88,2.05,1.88,2.09,1.84,2.04,3.4,3.5,2.25,3.3,3.3,2.25,3.4,3.3,2.2,3.3,3.3,2.25,3.4,3.3,2.25,3.55,3.5,2.34,3.41,3.37,2.23,2.2,1.66,2.22,1.74,2.28,1.77,2.17,1.71,0.25,1.82,2.08,1.97,1.96,2.03,2.08,1.96,1.93
5,5,1,Sat,2019-08-10,15:00,Bournemouth,1.3,1.3,Sheffield United,"10,714",Vitality Stadium,Kevin Friend,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,1,1,3-4-3,3-5-2,10.0,19.0,3.0,4.0,14.0,18.0,633.0,584.0,18.0,14.0,13.0,14.0,13.0,20.0,15.0,16.0,1.0,1.0,9.0,8.0,27.0,27.0,77.0,94.0,2.0,0.0,0.0,1.0,0.0,0.0,Aaron Ramsdale,Steve Cook,Nathan Aké,Joshua King,Jefferson Lerma,Callum Wilson,Adam Smith,Diego Rico,Ryan Fraser,Philip Billing,Chris Mepham,Artur Boruc,Andrew Surman,Dominic Solanke,Jordon Ibe,Charlie Daniels,Harry Wilson,Dean Henderson,George Baldock,Enda Stevens,John Fleck,Jack O'Connell,Chris Basham,John Lundstram,Callum Robinson,John Egan,Oliver Norwood,David McGoldrick,Simon Moore,Luke Freeman,Oliver McBurnie,Billy Sharp,Phil Jagielka,Ben Osborn,,,,,E0,10/08/2019,1.0,1.0,D,0.0,0.0,D,K Friend,13.0,8.0,3.0,3.0,10.0,19.0,3.0,4.0,2.0,1.0,0.0,0.0,1.95,3.6,3.6,1.95,3.6,3.9,1.97,3.55,3.8,,,,2.04,3.57,3.9,2.0,3.5,3.8,2.0,3.6,4.0,,,,,,,,,,,,,,,,,,,1.98,3.67,4.06,2019.0,15:00,2.06,3.65,4.0,2.01,3.53,3.83,1.9,1.9,1.96,1.96,2.0,1.99,1.9,1.93,-0.5,2.01,1.89,2.04,1.88,2.04,1.91,2.0,1.88,1.95,3.7,4.2,1.95,3.6,3.9,1.97,3.55,3.85,1.95,3.6,3.9,2.0,3.6,4.0,2.03,3.7,4.2,1.98,3.58,3.96,1.9,1.9,1.94,1.97,1.97,1.98,1.91,1.92,-0.5,1.95,1.95,1.98,1.95,2.0,1.96,1.96,1.92
6,6,1,Sat,2019-08-10,17:30,Tottenham,2.4,0.7,Aston Villa,"60,407",Tottenham Hotspur Stadium,Chris Kavanagh,/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League,3,1,4-3-1-2,4-1-4-1,13.0,9.0,14.0,0.0,38.0,8.0,749.0,422.0,17.0,29.0,5.0,9.0,10.0,12.0,6.0,46.0,1.0,0.0,2.0,13.0,22.0,9.0,56.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,Hugo Lloris,Danny Rose,Toby Alderweireld,Davinson Sánchez,Harry Winks,Harry Kane,Érik Lamela,Kyle Walker-Peters,Moussa Sissoko,Lucas Moura,Tanguy Ndombele,Paulo Gazzaniga,Victor Wanyama,Georges-Kévin N'Koudou,Eric Dier,Christian Eriksen,Serge Aurier,Tom Heaton,Neil Taylor,John McGinn,Wesley Moraes,Jack Grealish,Conor Hourihane,Trézéguet,Anwar El Ghazi,Björn Engels,Ahmed Elmohamady,Tyrone Mings,Jed Steer,Douglas Luiz,Henri Lansbury,Ezri Konsa,Matt Targett,Jota,,,,,E0,10/08/2019,3.0,1.0,H,0.0,1.0,A,C Kavanagh,31.0,7.0,7.0,4.0,13.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,1.3,5.25,10.0,1.3,5.5,10.0,1.3,5.5,9.6,,,,1.3,5.84,10.96,1.29,5.5,10.0,1.3,5.5,12.0,,,,,,,,,,,,,,,,,,,1.39,5.35,8.42,2019.0,17:30,1.33,5.95,12.0,1.3,5.53,10.51,1.66,2.2,1.64,2.4,1.7,2.4,1.65,2.26,-1.5,1.97,1.93,1.99,1.93,2.0,2.0,1.93,1.94,1.36,5.5,9.0,1.35,5.0,9.0,1.3,5.5,9.6,1.35,5.25,8.0,1.4,5.2,9.0,1.4,5.7,10.0,1.36,5.29,8.82,1.57,2.37,1.58,2.52,1.65,2.55,1.58,2.4,-1.5,2.1,1.7,2.18,1.77,2.21,1.87,2.08,1.8
7,7,1,Sun,2019-08-11,14:00,Newcastle,0.4,1.1,Arsenal,"47,635",St. James' Park,Martin Atkinson,/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League,0,1,3-5-2,4-2-3-1,12.0,7.0,5.0,3.0,15.0,10.0,548.0,771.0,26.0,11.0,20.0,6.0,21.0,14.0,17.0,22.0,1.0,3.0,8.0,8.0,23.0,30.0,68.0,57.0,1.0,0.0,0.0,3.0,0.0,0.0,Martin Dúbravka,Paul Dummett,Fabian Schär,Jamaal Lascelles,Jonjo Shelvey,Joelinton,Matt Ritchie,Isaac Hayden,Javier Manquillo,Miguel Almirón,Sean Longstaff,Karl Darlow,Ciaran Clark,Allan Saint-Maximin,Yoshinori Mutō,Jetro Willems,Emil Krafth,Bernd Leno,Sokratis Papastathopoulos,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles,Nacho Monreal,Calum Chambers,Reiss Nelson,Joe Willock,Mattéo Guendouzi,Granit Xhaka,Emiliano Martínez,Dani Ceballos,Alexandre Lacazette,Lucas Torreira,Nicolas Pépé,David Luiz,,,,,E0,11/08/2019,0.0,1.0,A,0.0,0.0,D,M Atkinson,9.0,8.0,2.0,2.0,12.0,7.0,5.0,3.0,1.0,3.0,0.0,0.0,4.5,3.75,1.72,4.5,3.75,1.78,4.4,3.85,1.77,,,,4.58,3.93,1.81,4.5,3.75,1.78,4.6,3.9,1.8,,,,,,,,,,,,,,,,,,,3.36,3.56,2.25,2019.0,14:00,4.7,4.0,1.83,4.49,3.82,1.79,1.8,2.0,1.83,2.1,1.83,2.14,1.77,2.07,0.75,1.85,2.05,1.86,2.07,1.88,2.08,1.85,2.03,3.4,3.6,2.2,3.3,3.5,2.2,3.25,3.5,2.2,3.5,3.4,2.15,3.4,3.5,2.25,3.76,3.65,2.25,3.36,3.51,2.2,1.8,2.0,1.83,2.09,1.85,2.17,1.79,2.05,0.25,1.99,1.91,1.99,1.95,2.17,1.97,2.0,1.89
8,8,1,Sun,2019-08-11,14:00,Leicester,0.7,0.7,Wolves,"32,015",King Power Stadium,Andre Marriner,/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,0,0,4-1-4-1,3-5-2,3.0,13.0,12.0,3.0,29.0,6.0,834.0,482.0,20.0,19.0,7.0,9.0,24.0,21.0,13.0,35.0,0.0,1.0,7.0,14.0,24.0,32.0,56.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,Kasper Schmeichel,Ben Chilwell,Çağlar Söyüncü,Jonny Evans,Youri Tielemans,Jamie Vardy,James Maddison,Ayoze Pérez,Hamza Choudhury,Ricardo Pereira,Wilfred Ndidi,Danny Ward,James Justin,Wes Morgan,Marc Albrighton,Kelechi Iheanacho,Harvey Barnes,Rui Patrício,Matt Doherty,Ryan Bennett,Rúben Neves,Raúl Jiménez,Willy Boly,Conor Coady,Diogo Jota,Jonny Castro,João Moutinho,Leander Dendoncker,John Ruddy,Pedro Neto,Patrick Cutrone,Morgan Gibbs-White,Romain Saïss,Rúben Vinagre,,,,,E0,11/08/2019,0.0,0.0,D,0.0,0.0,D,A Marriner,15.0,8.0,1.0,2.0,3.0,13.0,12.0,3.0,0.0,2.0,0.0,0.0,2.2,3.2,3.4,2.25,3.3,3.3,2.2,3.25,3.45,,,,2.21,3.34,3.66,2.2,3.25,3.5,2.25,3.3,3.6,,,,,,,,,,,,,,,,,,,2.5,3.12,3.3,2019.0,14:00,2.29,3.38,3.66,2.22,3.28,3.48,2.2,1.66,2.23,1.74,2.25,1.74,2.17,1.7,-0.25,1.9,2.0,1.9,2.04,1.95,2.04,1.91,1.98,2.4,3.25,3.3,2.35,3.2,3.3,2.35,3.15,3.2,2.35,3.1,3.3,2.45,3.2,3.3,2.55,3.25,3.58,2.41,3.14,3.29,2.3,1.61,2.45,1.63,2.45,1.71,2.33,1.62,-0.25,2.07,1.83,2.11,1.83,2.12,1.98,2.06,1.84
9,9,1,Sun,2019-08-11,16:30,Chelsea,2.2,1.0,Chelsea,"73,620",Old Trafford,Anthony Taylor,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,4,0,4-2-3-1,4-2-3-1,15.0,13.0,3.0,5.0,14.0,19.0,597.0,687.0,16.0,21.0,12.0,15.0,13.0,9.0,20.0,13.0,2.0,0.0,7.0,2.0,16.0,23.0,59.0,48.0,3.0,0.0,0.0,4.0,0.0,0.0,David de Gea,Victor Lindelöf,Harry Maguire,Paul Pogba,Anthony Martial,Marcus Rashford,Jesse Lingard,Andreas Pereira,Luke Shaw,Aaron Wan-Bissaka,Scott McTominay,Sergio Romero,Juan Mata,Ashley Young,Daniel James,Mason Greenwood,Nemanja Matić,Kepa Arrizabalaga,Andreas Christensen,Jorginho,Ross Barkley,Tammy Abraham,Pedro,Kurt Zouma,Mateo Kovačić,Mason Mount,César Azpilicueta,Emerson Palmieri,Willy Caballero,Marcos Alonso,N'Golo Kanté,Kenedy,Olivier Giroud,Christian Pulisic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
